age,gender,exercise_name,sets,reps,weight,frequency,protein,calories,sleep,experience,target_muscle_group,type,body_fat_percentage,cardio_minutes_per_week,maintenance_calories,muscle_size_cm2,definition_score
19,M,Lat Pulldowns,3,9,51,5,133,1681,6.3,Intermediate,Back,Compound,22.0,185,2200,27.0,3.1
53,M,Lunges,4,10,79,4,184,2277,8.0,Intermediate,Legs,Compound,17.9,76,2795,29.2,4.0
32,M,Tricep Extensions,3,10,23,4,154,2075,8.2,Intermediate,Arms,Isolation,24.1,209,2787,28.7,2.6
46,M,Leg Press,5,11,65,4,161,2043,8.0,Advanced,Legs,Compound,14.1,131,2331,30.0,5.0
31,F,Barbell Bench Press,5,7,117,3,138,1506,8.8,Intermediate,Chest,Compound,24.1,194,1903,23.1,2.9
32,F,Squats,3,10,66,5,103,1291,8.1,Intermediate,Legs,Compound,26.0,64,2088,26.1,2.7
50,M,Close-Grip Bench Press,3,10,86,3,146,2035,7.8,Intermediate,Arms,Compound,17.9,223,2329,29.5,4.3
44,M,Face Pulls,3,13,32,3,179,2533,6.3,Beginner,Back,Isolation,19.6,299,3192,34.2,4.0
54,F,Lateral Raises,4,10,37,3,125,1585,6.4,Beginner,Shoulders,Isolation,26.5,116,2204,18.9,2.0
32,M,Leg Press,5,9,64,4,157,1689,7.4,Beginner,Legs,Compound,22.4,278,2274,22.7,3.0
34,M,Incline Barbell Bench Press,3,6,88,3,141,1907,6.6,Beginner,Chest,Compound,15.2,108,2262,34.3,4.4
37,M,Barbell Bench Press,4,8,95,5,151,2033,7.9,Intermediate,Chest,Compound,19.0,280,2517,41.5,4.3
36,M,Chin-ups,4,8,102,3,148,2209,8.8,Advanced,Arms,Compound,18.8,91,2463,37.6,4.4
36,M,Cable Rows,3,14,17,5,191,2389,7.0,Intermediate,Back,Isolation,14.0,288,2642,20.6,4.4
50,M,Lateral Raises,4,12,28,5,167,2816,7.9,Advanced,Shoulders,Isolation,24.9,220,3022,48.2,3.1
36,M,Pec Deck,4,14,16,5,131,1939,7.9,Advanced,Chest,Isolation,21.2,225,2670,43.3,4.1
26,M,Pec Deck,4,14,46,3,133,2361,7.6,Intermediate,Chest,Isolation,21.9,296,3081,43.7,3.6
26,M,Squats,5,11,57,3,160,2008,7.7,Advanced,Legs,Compound,18.8,212,2241,53.5,4.6
29,M,Overhead Press,3,10,110,4,136,2209,8.3,Beginner,Shoulders,Compound,23.7,105,2884,18.7,2.3
18,M,Overhead Press,5,8,93,4,143,1649,8.2,Intermediate,Shoulders,Compound,17.1,92,2254,26.1,4.2
37,M,Arnold Press,4,10,112,3,136,2079,8.1,Advanced,Shoulders,Compound,24.4,163,2495,49.4,3.3
52,F,Barbell Rows,5,8,88,3,109,1048,7.3,Advanced,Back,Compound,21.8,106,1816,30.5,3.3
33,F,Pec Deck,3,9,55,3,146,1850,8.1,Advanced,Chest,Isolation,27.2,258,2337,32.5,2.9
43,M,Incline Barbell Bench Press,5,10,78,5,178,1912,7.9,Advanced,Chest,Compound,21.1,73,2601,25.0,3.6
52,M,Reverse Flyes,3,8,18,3,144,2585,7.9,Intermediate,Back,Isolation,18.9,75,3181,42.1,4.3
19,M,Lunges,5,8,78,4,181,1552,6.1,Advanced,Legs,Compound,23.4,295,2228,24.6,3.2
27,M,Incline Barbell Bench Press,4,7,107,4,156,2526,6.1,Intermediate,Chest,Compound,21.5,297,3157,33.1,3.2
32,M,Lunges,4,11,50,4,144,2281,6.2,Intermediate,Legs,Compound,24.3,131,3044,25.5,3.0
27,M,Leg Press,5,6,48,5,180,1530,7.5,Intermediate,Legs,Compound,24.4,141,2219,20.9,2.8
41,F,Incline Barbell Bench Press,3,7,50,3,127,1382,8.7,Intermediate,Chest,Compound,28.5,212,2122,24.3,2.3
26,M,Diamond Push-ups,3,7,57,4,179,1444,6.2,Advanced,Arms,Compound,15.7,104,2236,46.1,5.0
46,F,Deadlifts,5,9,98,5,144,1618,8.8,Intermediate,Legs,Compound,25.6,159,2162,24.9,2.6
24,F,Lat Pulldowns,3,11,78,5,135,1424,8.5,Advanced,Back,Compound,30.3,280,1881,26.4,1.9
19,M,Pull-ups,3,8,109,5,190,1828,7.3,Intermediate,Back,Compound,20.2,285,2613,44.5,3.9
32,F,Cable Rows,4,13,31,4,125,1502,6.1,Beginner,Back,Isolation,27.6,109,1821,23.2,2.3
46,M,Deadlifts,5,8,114,4,145,2501,6.8,Intermediate,Legs,Compound,17.0,88,3182,34.9,4.8
52,M,Hammer Curls,4,11,36,5,186,2157,6.5,Beginner,Arms,Isolation,21.0,151,2738,31.9,3.5
33,F,Arnold Press,5,7,100,5,117,1853,7.4,Advanced,Shoulders,Compound,24.2,86,2323,31.7,3.4
42,F,Close-Grip Bench Press,3,9,42,4,124,1921,7.8,Advanced,Arms,Compound,29.8,185,2326,31.9,2.3
53,M,Lunges,5,10,111,3,183,1936,7.4,Intermediate,Legs,Compound,20.5,154,2473,24.0,3.6
28,M,Overhead Press,3,11,71,5,173,2506,6.6,Advanced,Shoulders,Compound,12.5,220,2791,47.4,5.0
49,F,Cable Crossovers,4,14,16,4,145,1568,8.4,Beginner,Chest,Isolation,30.4,285,1889,18.4,1.2
28,M,Cable Crossovers,4,13,34,4,126,1652,8.7,Advanced,Chest,Isolation,20.0,191,2310,41.8,4.2
39,M,Front Raises,4,12,39,3,138,1676,7.4,Intermediate,Shoulders,Isolation,21.5,232,2442,33.2,3.3
49,M,Incline Barbell Bench Press,5,8,100,3,182,2743,6.8,Intermediate,Chest,Compound,15.0,135,3149,38.0,4.7
38,F,Tricep Extensions,3,10,46,3,133,1508,7.8,Advanced,Arms,Isolation,22.8,138,2219,25.7,3.5
23,M,Overhead Press,5,6,65,4,161,2073,8.9,Advanced,Shoulders,Compound,16.7,178,2798,32.5,4.7
31,M,Arnold Press,5,10,44,5,159,1989,6.4,Intermediate,Shoulders,Compound,14.1,104,2648,34.8,4.7
48,M,Barbell Rows,3,10,59,5,120,2659,6.5,Beginner,Back,Compound,18.8,271,3171,19.4,3.7
54,M,Tricep Extensions,4,10,34,4,121,1823,6.7,Intermediate,Arms,Isolation,21.2,85,2533,39.5,3.4
52,M,Close-Grip Bench Press,4,8,82,4,169,2809,7.7,Advanced,Arms,Compound,18.6,243,3193,33.5,4.5
40,M,Lat Pulldowns,4,10,40,5,148,2424,6.7,Beginner,Back,Compound,16.0,298,2975,16.6,3.9
51,M,Pull-ups,5,6,115,5,165,2839,6.6,Advanced,Back,Compound,12.2,267,3039,35.2,5.0
22,M,Dumbbell Flyes,4,12,23,3,150,2100,6.3,Intermediate,Chest,Isolation,19.9,157,2788,24.0,3.8
21,M,Lateral Raises,4,13,21,3,134,2660,7.1,Advanced,Shoulders,Isolation,22.4,258,2924,46.9,3.8
36,M,Diamond Push-ups,5,11,117,4,165,2959,7.6,Intermediate,Arms,Compound,16.9,131,3161,25.9,4.4
23,F,Lunges,5,8,87,5,145,1428,8.1,Advanced,Legs,Compound,20.1,230,2125,20.0,3.4
40,M,Hammer Curls,4,12,27,4,153,2453,7.5,Advanced,Arms,Isolation,24.4,299,2986,26.1,3.0
44,F,Barbell Rows,4,6,114,5,143,1365,8.4,Intermediate,Back,Compound,19.3,218,2150,23.7,4.1
53,M,Leg Press,3,11,60,4,128,2194,6.6,Beginner,Legs,Compound,16.9,69,2419,32.3,4.1
25,F,Front Raises,4,8,32,5,149,1458,6.5,Intermediate,Shoulders,Isolation,22.2,286,2238,18.8,3.3
50,M,Diamond Push-ups,4,6,117,3,176,2255,6.4,Beginner,Arms,Compound,20.3,123,2708,16.5,3.0
38,M,Rear Delt Flyes,3,11,40,4,151,2387,8.3,Intermediate,Shoulders,Isolation,21.4,95,2753,31.1,3.2
50,M,Chin-ups,3,9,66,3,191,2214,8.0,Intermediate,Arms,Compound,16.5,103,2975,29.2,4.4
20,M,Rear Delt Flyes,4,13,58,4,188,2071,8.1,Beginner,Shoulders,Isolation,16.7,114,2747,23.6,4.2
47,M,Chin-ups,3,9,44,3,149,2484,6.3,Advanced,Arms,Compound,20.6,209,2832,34.4,3.6
49,M,Chin-ups,3,7,41,5,192,2312,6.9,Advanced,Arms,Compound,21.2,239,2960,47.5,3.8
43,M,Tricep Extensions,4,14,56,4,164,2436,8.6,Intermediate,Arms,Isolation,18.5,217,2793,43.0,4.6
20,F,Lat Pulldowns,4,11,59,4,124,1613,8.6,Intermediate,Back,Compound,23.6,223,2065,16.2,2.8
18,M,Dumbbell Flyes,3,9,22,3,187,2457,6.7,Advanced,Chest,Isolation,18.5,232,3193,29.2,4.4
49,M,Deadlifts,3,8,41,5,150,1950,8.3,Intermediate,Legs,Compound,23.4,69,2666,43.4,3.1
28,F,Barbell Bench Press,4,11,46,3,103,1308,8.4,Intermediate,Chest,Compound,24.0,162,2059,19.5,2.5
46,M,Close-Grip Bench Press,5,8,53,5,124,2231,6.7,Intermediate,Arms,Compound,13.7,121,2940,30.7,4.9
32,M,Deadlifts,3,10,92,4,164,2833,7.1,Intermediate,Legs,Compound,20.0,247,3196,24.7,3.7
38,F,Chin-ups,5,6,91,3,141,2001,8.9,Beginner,Arms,Compound,20.1,172,2221,17.9,3.5
34,M,Cable Crossovers,4,11,54,3,194,2084,6.7,Advanced,Chest,Isolation,13.0,204,2483,48.3,5.0
41,F,Leg Press,5,6,90,5,104,1469,8.2,Beginner,Legs,Compound,24.2,117,1816,23.9,2.5
53,M,Overhead Press,4,11,47,4,127,2190,7.9,Advanced,Shoulders,Compound,14.4,253,2749,43.8,5.0
20,M,Lat Pulldowns,4,7,60,5,121,2114,7.5,Intermediate,Back,Compound,20.4,219,2687,39.4,4.0
49,M,Barbell Rows,5,11,61,4,163,2692,7.5,Beginner,Back,Compound,13.4,172,3179,16.9,4.5
52,M,T-Bar Rows,3,11,47,4,126,2124,6.2,Intermediate,Back,Compound,15.4,145,2559,42.0,5.0
42,F,Hammer Curls,3,10,37,3,142,1457,7.8,Beginner,Arms,Isolation,19.8,243,2077,14.0,3.5
36,M,Deadlifts,4,6,44,5,123,2345,6.6,Beginner,Legs,Compound,23.4,123,2648,27.5,3.0
42,M,Barbell Bench Press,4,7,97,4,197,1998,8.2,Advanced,Chest,Compound,14.4,240,2211,42.5,5.0
28,F,Barbell Rows,4,11,65,3,139,1664,6.1,Advanced,Back,Compound,25.0,233,2268,26.5,2.8
37,M,Leg Press,4,7,69,4,150,2727,8.5,Advanced,Legs,Compound,21.4,108,3114,39.3,3.9
36,M,Close-Grip Bench Press,4,6,94,3,182,2033,7.8,Intermediate,Arms,Compound,21.2,106,2345,39.6,4.0
50,M,Close-Grip Bench Press,4,10,100,4,122,1796,7.8,Intermediate,Arms,Compound,13.5,257,2249,39.6,5.0
36,M,Squats,4,10,109,4,158,1947,6.0,Intermediate,Legs,Compound,22.9,100,2459,41.8,3.2
48,F,Pull-ups,5,8,94,4,130,1795,6.8,Intermediate,Back,Compound,22.0,132,2199,15.2,3.0
37,M,Pike Push-ups,5,7,71,5,134,1949,7.2,Intermediate,Shoulders,Compound,16.1,213,2347,28.6,4.5
31,F,Barbell Rows,5,8,51,3,140,1884,6.5,Advanced,Back,Compound,27.2,255,2244,22.6,2.4
24,M,Bicep Curls,3,13,31,4,189,2389,7.3,Intermediate,Arms,Isolation,15.0,64,3165,44.5,5.0
19,M,Chin-ups,5,7,103,5,168,2799,6.8,Advanced,Arms,Compound,21.7,79,3030,37.8,3.8
21,F,Hammer Curls,3,8,54,4,148,1179,7.7,Intermediate,Arms,Isolation,30.3,190,1825,18.1,1.9
50,M,Pike Push-ups,3,8,50,4,143,1500,8.4,Advanced,Shoulders,Compound,17.9,223,2207,35.2,4.5
25,F,T-Bar Rows,4,8,42,5,137,1420,6.6,Intermediate,Back,Compound,25.5,67,1839,28.7,2.8
54,M,Hammer Curls,4,8,59,5,149,2264,7.0,Intermediate,Arms,Isolation,23.5,215,2732,22.1,3.1
48,M,Tricep Extensions,4,13,19,5,128,2329,8.8,Beginner,Arms,Isolation,13.2,193,2900,29.7,4.8
28,F,Rear Delt Flyes,4,12,42,4,132,1244,7.0,Intermediate,Shoulders,Isolation,21.6,234,1989,19.7,3.0
28,M,Front Raises,3,8,34,3,153,2206,6.9,Intermediate,Shoulders,Isolation,22.9,215,2471,28.8,3.2
23,F,Overhead Press,5,11,54,5,134,1820,6.9,Intermediate,Shoulders,Compound,21.9,105,2332,27.6,3.4
53,F,T-Bar Rows,5,8,62,5,145,1404,6.7,Advanced,Back,Compound,27.3,131,2153,32.2,2.4
36,F,Face Pulls,4,8,33,4,118,1742,6.1,Beginner,Back,Isolation,18.6,130,2225,17.1,3.8
26,M,Lunges,3,11,48,3,171,2287,8.5,Advanced,Legs,Compound,23.3,112,2575,32.4,3.2
31,F,Incline Barbell Bench Press,3,10,101,3,129,1764,7.7,Beginner,Chest,Compound,29.9,123,2231,22.8,1.8
38,M,Dumbbell Flyes,3,8,18,5,184,2969,7.6,Beginner,Chest,Isolation,19.8,234,3176,32.6,3.6
29,M,Lunges,3,10,90,5,147,2049,8.4,Beginner,Legs,Compound,14.1,126,2654,22.8,4.6
19,M,Barbell Bench Press,4,7,66,5,184,1939,7.0,Intermediate,Chest,Compound,15.5,158,2579,44.6,4.8
52,M,Incline Barbell Bench Press,5,9,78,3,168,2439,7.2,Intermediate,Chest,Compound,19.0,113,2956,34.8,4.5
26,F,Overhead Press,5,10,103,5,118,1761,8.8,Intermediate,Shoulders,Compound,25.4,104,2293,27.3,2.5
36,M,Pec Deck,4,9,19,3,165,2516,8.2,Advanced,Chest,Isolation,19.9,234,3058,45.4,4.2
37,M,Lat Pulldowns,3,6,115,4,134,2714,8.8,Beginner,Back,Compound,17.9,250,2954,23.7,4.0
27,M,Dumbbell Bench Press,4,8,41,3,122,2328,6.4,Intermediate,Chest,Compound,20.3,140,2877,20.3,3.6
29,M,Calf Raises,3,8,37,3,147,2017,8.1,Intermediate,Legs,Isolation,12.6,205,2493,34.4,5.0
26,M,Pike Push-ups,3,8,87,4,152,2535,6.5,Advanced,Shoulders,Compound,22.4,224,3024,37.4,3.7
54,F,Diamond Push-ups,5,8,50,3,104,1784,7.1,Intermediate,Arms,Compound,18.4,175,2375,17.3,4.0
18,M,Overhead Press,4,8,85,4,183,2129,7.2,Beginner,Shoulders,Compound,15.0,65,2562,35.4,4.7
32,M,Diamond Push-ups,4,9,57,3,148,2292,7.8,Beginner,Arms,Compound,16.8,185,2568,32.7,4.2
49,M,Barbell Rows,5,8,42,4,151,2245,6.6,Intermediate,Back,Compound,19.2,144,2553,23.9,3.9
38,F,Leg Press,4,8,90,3,134,1769,7.0,Intermediate,Legs,Compound,26.1,211,2072,20.2,2.4
54,F,Pike Push-ups,3,7,50,4,111,1913,6.4,Beginner,Shoulders,Compound,28.0,198,2358,22.2,2.0
22,F,Cable Crossovers,4,11,58,4,137,1241,6.6,Intermediate,Chest,Isolation,31.2,275,2027,28.2,1.7
44,M,Pike Push-ups,5,9,46,3,167,1652,6.3,Intermediate,Shoulders,Compound,23.3,175,2362,34.4,2.9
34,F,Pike Push-ups,4,10,70,5,131,1692,8.1,Advanced,Shoulders,Compound,30.4,230,1913,19.1,2.1
27,M,Overhead Press,4,8,58,4,145,2151,6.3,Intermediate,Shoulders,Compound,22.5,89,2463,29.0,2.9
18,M,Leg Curls,3,8,50,5,182,2090,7.2,Intermediate,Legs,Isolation,12.1,93,2393,21.7,4.6
21,M,Chin-ups,3,10,55,4,136,2561,8.5,Beginner,Arms,Compound,13.4,183,3135,23.0,4.7
19,M,Rear Delt Flyes,4,13,41,4,172,2412,7.6,Intermediate,Shoulders,Isolation,15.0,217,2932,27.4,5.0
38,M,Pull-ups,4,9,59,4,169,1602,6.7,Intermediate,Back,Compound,14.4,112,2213,39.0,5.0
39,M,Chin-ups,4,7,114,3,168,2125,6.3,Beginner,Arms,Compound,21.4,152,2915,34.3,3.1
49,M,Leg Curls,4,10,15,5,128,2231,7.7,Advanced,Legs,Isolation,18.1,141,2858,41.5,4.9
30,M,Incline Barbell Bench Press,3,6,99,5,174,2554,6.5,Intermediate,Chest,Compound,20.8,208,2928,43.4,4.1
54,F,Dumbbell Bench Press,5,9,76,4,147,1161,8.6,Advanced,Chest,Compound,27.8,158,1900,35.1,2.6
35,M,Squats,5,7,55,3,157,1870,8.2,Advanced,Legs,Compound,23.2,273,2528,24.1,3.0
40,M,Face Pulls,4,11,35,4,184,2082,6.3,Intermediate,Back,Isolation,20.5,294,2637,23.4,3.4
27,M,Pull-ups,4,7,74,3,136,2205,6.8,Beginner,Back,Compound,15.1,88,2586,29.8,4.5
53,M,Incline Barbell Bench Press,5,11,92,4,166,2278,6.8,Intermediate,Chest,Compound,17.9,283,2898,39.1,4.4
42,F,Overhead Press,5,9,90,3,110,1535,7.8,Intermediate,Shoulders,Compound,23.2,259,1959,20.2,2.7
21,F,Calf Raises,4,9,18,4,108,1270,7.9,Advanced,Legs,Isolation,26.4,91,1903,34.9,2.5
34,M,Lat Pulldowns,5,10,92,5,147,2372,8.4,Beginner,Back,Compound,20.1,234,3062,18.8,3.5
41,F,Barbell Rows,3,8,93,3,126,2007,7.1,Intermediate,Back,Compound,27.7,181,2221,15.9,2.1
22,M,Leg Press,4,11,47,3,152,1904,8.4,Advanced,Legs,Compound,19.1,70,2434,46.8,4.5
23,M,Lateral Raises,4,10,51,3,138,1963,6.6,Intermediate,Shoulders,Isolation,17.3,269,2473,32.5,4.7
21,F,Arnold Press,4,10,47,4,135,1457,6.7,Advanced,Shoulders,Compound,27.8,230,2151,24.4,2.5
37,M,Face Pulls,3,10,35,4,185,2197,8.2,Advanced,Back,Isolation,12.2,150,2963,39.0,5.0
44,M,Dumbbell Bench Press,5,7,40,3,190,2201,8.3,Intermediate,Chest,Compound,13.5,222,2804,36.6,4.7
44,M,Lunges,3,7,40,4,139,1888,8.5,Intermediate,Legs,Compound,17.0,100,2353,44.8,4.4
18,M,Calf Raises,3,10,26,4,138,2774,7.1,Advanced,Legs,Isolation,24.4,106,3082,32.5,3.3
43,F,Barbell Rows,3,8,85,4,126,1834,8.6,Intermediate,Back,Compound,24.7,188,2304,26.7,2.7
41,F,Face Pulls,3,8,37,3,122,1267,7.2,Beginner,Back,Isolation,28.8,240,2047,20.7,1.9
23,M,Lunges,5,11,86,4,155,2342,8.5,Advanced,Legs,Compound,16.0,146,2710,30.8,4.9
47,M,Front Raises,4,13,35,4,191,2389,6.2,Advanced,Shoulders,Isolation,14.4,90,2860,48.5,5.0
49,M,Barbell Rows,5,6,60,3,184,1911,7.5,Advanced,Back,Compound,24.4,95,2301,41.5,3.6
41,M,Face Pulls,3,8,48,5,192,2540,6.6,Beginner,Back,Isolation,22.4,143,2880,18.0,3.1
20,M,Incline Barbell Bench Press,5,9,71,4,162,1950,6.0,Advanced,Chest,Compound,17.7,117,2568,44.1,4.9
51,M,Dumbbell Bench Press,3,6,108,5,125,1811,8.9,Intermediate,Chest,Compound,22.6,249,2535,37.6,3.4
29,M,Chin-ups,5,6,111,5,175,1831,7.7,Advanced,Arms,Compound,20.8,75,2405,48.3,4.3
35,M,Leg Press,3,11,44,3,197,2855,6.2,Beginner,Legs,Compound,12.3,118,3123,19.7,4.5
36,M,Incline Barbell Bench Press,5,11,58,4,139,2448,7.0,Beginner,Chest,Compound,17.0,122,2676,20.1,4.0
25,M,Leg Curls,3,9,40,3,168,2741,6.2,Intermediate,Legs,Isolation,24.6,190,3144,24.5,2.5
42,F,Lat Pulldowns,5,10,59,5,119,2045,7.4,Intermediate,Back,Compound,27.7,286,2352,23.2,2.3
47,M,Cable Crossovers,3,10,50,5,121,2095,6.5,Advanced,Chest,Isolation,19.3,142,2707,35.2,4.1
27,M,Bicep Curls,3,11,15,3,187,2294,6.8,Intermediate,Arms,Isolation,12.1,223,2500,43.5,5.0
27,M,Dumbbell Bench Press,4,7,74,5,144,1974,6.8,Advanced,Chest,Compound,20.7,152,2540,29.7,3.8
44,M,Cable Rows,4,14,37,5,171,2433,6.1,Intermediate,Back,Isolation,20.3,284,2679,35.3,3.6
22,M,Pull-ups,4,11,87,5,157,2375,7.5,Advanced,Back,Compound,17.5,122,2849,34.6,4.7
20,M,Lateral Raises,3,12,20,5,158,2488,8.6,Advanced,Shoulders,Isolation,18.8,156,3056,46.1,4.9
26,M,Rear Delt Flyes,4,11,57,3,137,2272,6.9,Advanced,Shoulders,Isolation,23.4,198,2534,36.3,3.4
30,M,Close-Grip Bench Press,5,8,117,4,120,2716,6.3,Intermediate,Arms,Compound,18.4,216,2953,21.4,3.8
27,F,Overhead Press,3,9,51,5,141,1377,6.8,Advanced,Shoulders,Compound,29.6,120,2111,31.0,2.2
41,F,Close-Grip Bench Press,4,7,78,3,108,1807,7.7,Intermediate,Arms,Compound,31.3,94,2012,28.7,1.7
22,M,Barbell Bench Press,3,10,52,4,142,2327,6.5,Advanced,Chest,Compound,21.7,163,2571,49.8,4.1
54,F,Incline Barbell Bench Press,5,11,49,5,135,1481,7.8,Intermediate,Chest,Compound,19.2,265,1914,17.4,3.6
36,M,Incline Barbell Bench Press,3,8,106,4,166,2487,6.6,Advanced,Chest,Compound,24.8,157,3135,41.2,3.1
18,M,Lunges,4,6,110,3,145,2020,8.0,Intermediate,Legs,Compound,19.9,117,2524,22.9,3.9
18,M,Lunges,4,9,55,3,147,2749,7.6,Advanced,Legs,Compound,18.2,124,3021,26.1,4.3
39,F,Deadlifts,3,10,54,5,145,1197,7.9,Intermediate,Legs,Compound,29.1,205,1938,20.0,2.1
19,M,Bicep Curls,3,12,32,4,164,1998,6.7,Advanced,Arms,Isolation,19.0,280,2532,35.7,4.5
46,M,Diamond Push-ups,4,8,69,5,181,2642,7.5,Beginner,Arms,Compound,19.9,151,3097,30.6,3.9
51,F,Pull-ups,3,11,78,4,116,1745,8.0,Intermediate,Back,Compound,28.7,251,2299,16.0,2.0
