age,gender,exercise_type,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2
27,F,Squats,5,10,31.2,3,92.1,2714,7.3,Advanced,1.0
53,M,Bench Press,6,7,81.1,2,154.8,2152,9.1,Beginner,4.62
31,M,Squats,4,12,111.1,1,122.7,3203,8.1,Intermediate,6.03
48,M,Squats,1,14,49.1,4,174.7,2120,9.2,Advanced,4.95
32,M,Bench Press,5,6,138.5,2,108.0,3462,7.5,Intermediate,1.17
25,F,Squats,2,9,199.6,1,156.7,3145,5.6,Intermediate,2.5
31,M,Squats,4,5,101.3,5,108.3,3743,5.1,Beginner,3.22
40,M,Squats,5,10,83.9,3,165.6,1916,6.5,Advanced,2.67
57,F,Deadlifts,4,6,92.1,4,184.8,2163,8.5,Intermediate,4.4
38,M,Bench Press,4,8,40.7,4,95.2,3278,9.0,Beginner,2.8
33,M,Bench Press,2,10,179.0,4,184.0,2879,6.5,Intermediate,2.87
35,M,Squats,3,14,94.7,3,151.2,1647,7.5,Intermediate,4.6
41,M,Deadlifts,5,15,89.7,1,95.3,3545,7.1,Beginner,3.87
43,M,Bench Press,2,12,138.7,2,131.3,2888,7.1,Beginner,4.93
42,M,Squats,4,12,99.6,1,99.3,3911,6.2,Beginner,5.93
58,F,Deadlifts,2,15,136.7,2,164.0,3225,5.7,Intermediate,4.44
46,M,Squats,3,10,31.1,4,171.1,1901,6.0,Intermediate,1.35
32,M,Bench Press,6,8,166.5,1,92.7,3015,5.3,Intermediate,1.36
18,F,Bench Press,5,12,189.3,4,140.7,3531,6.0,Advanced,3.34
42,M,Squats,3,12,136.8,5,177.8,1728,5.0,Advanced,2.11
24,F,Deadlifts,1,14,191.8,4,192.3,3098,8.1,Intermediate,7.63
26,M,Deadlifts,5,5,47.3,4,141.6,1767,6.6,Beginner,4.02
41,M,Bench Press,3,8,105.9,2,194.0,2928,9.9,Intermediate,4.26
18,F,Squats,4,8,128.3,5,144.3,3316,6.0,Intermediate,5.78
25,M,Squats,5,11,124.7,4,127.3,2534,6.7,Intermediate,3.48
41,M,Squats,5,15,92.3,4,181.8,2843,6.8,Intermediate,1.03
28,M,Deadlifts,2,11,80.9,5,139.2,1625,5.0,Intermediate,3.98
34,M,Squats,4,15,42.8,5,136.6,3853,9.2,Advanced,3.06
25,F,Bench Press,1,12,90.5,1,138.8,3225,5.2,Beginner,5.95
52,M,Deadlifts,6,15,49.3,2,181.6,2612,9.7,Intermediate,3.44
52,M,Squats,3,9,152.2,5,179.8,2875,9.5,Beginner,5.14
50,M,Bench Press,2,11,57.6,5,128.4,2188,7.7,Advanced,1.66
22,F,Squats,3,12,30.5,3,120.0,2780,7.7,Beginner,8.86
59,M,Deadlifts,1,13,119.4,5,139.0,2732,8.3,Beginner,7.86
56,F,Bench Press,1,7,127.1,2,148.7,1780,6.9,Intermediate,3.04
58,M,Squats,5,7,176.9,4,108.6,1942,8.2,Intermediate,5.71
45,F,Squats,1,8,123.9,4,175.3,3363,5.2,Beginner,4.01
24,F,Bench Press,3,9,82.2,4,138.4,2336,5.3,Intermediate,1.02
26,F,Deadlifts,4,14,164.5,4,120.1,1888,7.3,Intermediate,2.03
25,F,Deadlifts,4,5,117.3,3,92.8,2116,7.7,Beginner,2.63
29,M,Bench Press,5,11,34.3,5,108.7,1646,9.4,Intermediate,1.01
51,M,Squats,6,13,121.9,4,193.9,2020,5.5,Advanced,3.97
50,M,Squats,3,12,183.4,1,116.6,2129,9.1,Intermediate,6.37
40,M,Squats,3,9,91.3,4,100.3,3981,6.1,Intermediate,1.69
41,M,Bench Press,1,8,73.3,5,135.3,3691,7.0,Intermediate,5.0
54,M,Deadlifts,3,11,45.8,4,116.9,1788,6.6,Intermediate,4.79
52,M,Bench Press,2,9,47.3,3,84.2,2909,7.0,Beginner,2.62
57,M,Squats,6,11,97.9,2,118.8,1513,5.8,Beginner,6.81
39,F,Bench Press,1,5,127.2,2,145.3,1756,7.5,Advanced,1.08
44,M,Deadlifts,2,5,34.5,5,146.2,3221,9.0,Advanced,3.64
52,F,Deadlifts,5,14,189.1,2,122.8,2923,7.2,Intermediate,3.7
18,F,Deadlifts,4,7,155.9,2,133.7,2730,7.5,Beginner,9.55
52,F,Squats,5,15,125.6,1,195.9,2357,9.2,Beginner,4.51
54,F,Squats,4,6,169.1,5,125.3,2695,8.5,Intermediate,4.04
31,F,Deadlifts,5,6,34.4,5,111.0,1963,7.5,Intermediate,3.84
20,F,Bench Press,3,11,105.8,2,109.2,1769,6.3,Beginner,2.8
18,F,Squats,2,14,133.4,2,134.9,2744,9.4,Advanced,1.0
22,M,Deadlifts,4,6,169.2,2,171.1,2706,7.9,Intermediate,2.68
43,M,Deadlifts,1,15,161.0,3,104.7,1571,6.1,Advanced,2.77
31,M,Bench Press,2,8,69.9,4,165.1,2806,6.3,Intermediate,3.52
56,M,Bench Press,1,6,189.4,3,82.5,3621,9.0,Intermediate,4.51
44,F,Squats,2,10,42.4,5,130.3,3902,5.2,Intermediate,5.57
26,F,Bench Press,2,12,177.5,1,173.1,3250,10.0,Intermediate,2.71
32,F,Bench Press,5,14,194.8,4,120.6,1996,5.7,Intermediate,1.0
32,M,Deadlifts,4,8,51.9,1,147.6,2487,9.0,Intermediate,7.54
43,F,Deadlifts,4,9,150.0,5,104.6,2409,7.0,Intermediate,4.54
59,F,Deadlifts,2,8,27.3,5,169.0,1872,7.5,Advanced,2.26
30,F,Squats,3,7,93.0,1,86.3,1861,9.4,Intermediate,4.02
49,F,Deadlifts,3,9,112.9,1,182.3,3640,7.1,Intermediate,3.25
56,F,Deadlifts,1,13,124.5,1,103.8,2844,7.7,Advanced,1.65
49,M,Bench Press,1,12,188.5,5,184.9,1823,5.2,Beginner,2.49
21,F,Deadlifts,5,12,141.0,2,122.3,3931,5.0,Beginner,8.34
47,M,Deadlifts,2,12,106.6,1,166.7,2074,6.2,Intermediate,3.46
54,M,Bench Press,1,12,165.7,4,118.3,2235,8.4,Intermediate,2.33
40,F,Bench Press,1,11,191.1,5,188.7,3893,5.6,Advanced,1.3
56,M,Squats,6,12,24.0,3,95.2,2715,5.6,Intermediate,4.84
32,F,Squats,2,15,196.9,3,101.4,3195,7.1,Intermediate,2.81
46,M,Bench Press,5,12,35.5,4,139.2,3407,8.2,Intermediate,2.67
53,F,Deadlifts,1,12,166.6,2,89.8,2218,8.6,Beginner,4.61
30,M,Squats,5,14,70.5,1,103.5,2280,5.9,Intermediate,2.29
49,F,Squats,4,11,43.8,5,193.3,2519,5.4,Advanced,1.0
24,F,Bench Press,5,5,99.2,1,197.2,2903,9.7,Beginner,3.32
39,M,Squats,3,8,135.9,5,125.2,2926,6.3,Intermediate,2.08
45,M,Squats,3,8,88.6,3,190.8,2163,9.3,Intermediate,1.73
19,F,Squats,5,9,29.8,1,145.4,3272,9.3,Beginner,9.72
59,M,Squats,3,14,127.9,4,112.4,1510,8.9,Beginner,2.45
23,M,Squats,4,10,182.4,2,164.3,3734,5.8,Advanced,5.11
45,M,Squats,2,8,89.0,4,159.1,2538,9.1,Intermediate,4.44
45,M,Bench Press,3,6,58.9,2,198.7,3958,8.8,Beginner,7.15
37,F,Deadlifts,3,10,99.7,1,111.8,2084,8.0,Beginner,2.75
47,F,Bench Press,5,12,28.7,1,160.6,2575,6.7,Intermediate,1.04
28,M,Deadlifts,4,12,167.7,2,86.2,2874,6.3,Intermediate,3.24
45,M,Squats,2,11,168.7,3,93.6,2951,5.6,Intermediate,3.08
42,F,Squats,5,10,125.8,5,80.5,3354,7.5,Beginner,7.38
56,M,Deadlifts,5,6,83.6,4,199.9,3289,7.9,Advanced,2.99
50,M,Squats,6,11,164.0,4,176.3,2242,6.8,Intermediate,5.04
18,F,Bench Press,4,15,119.8,4,174.4,3276,7.4,Intermediate,4.0
44,F,Bench Press,2,9,168.7,1,141.2,1703,6.8,Intermediate,3.63
30,F,Bench Press,4,10,133.7,4,116.0,2576,8.2,Intermediate,2.12
58,F,Squats,2,14,161.2,5,98.2,2473,9.5,Advanced,3.11
20,M,Squats,4,12,127.7,5,114.2,2898,5.8,Advanced,2.22
56,F,Bench Press,5,12,94.5,2,125.1,3365,6.9,Intermediate,3.88
23,M,Squats,5,7,192.4,1,170.8,2799,5.7,Advanced,5.0
25,M,Bench Press,1,11,117.4,5,144.8,2554,8.1,Intermediate,3.8
44,M,Deadlifts,3,5,128.9,3,89.3,2658,8.6,Advanced,1.57
26,M,Deadlifts,6,5,59.7,1,82.2,1604,9.7,Beginner,4.99
54,F,Squats,4,11,132.6,1,92.3,1752,6.4,Intermediate,1.89
50,M,Deadlifts,6,14,122.9,5,129.3,1794,9.8,Beginner,5.4
59,M,Bench Press,1,13,53.3,3,192.0,2681,5.3,Advanced,1.23
41,M,Squats,3,11,30.7,2,156.5,2048,8.0,Beginner,6.7
32,M,Squats,4,14,128.8,5,176.2,3277,5.3,Intermediate,5.52
49,F,Deadlifts,2,9,157.5,3,136.0,1798,9.5,Intermediate,3.32
49,M,Squats,3,12,114.2,1,123.4,3248,7.6,Intermediate,3.25
41,F,Squats,5,6,60.8,3,93.0,3343,8.3,Intermediate,5.85
58,M,Squats,1,13,140.0,1,185.1,1600,9.2,Advanced,4.01
29,M,Deadlifts,3,10,34.4,5,174.0,3879,5.8,Intermediate,5.01
56,F,Deadlifts,3,13,99.5,5,100.2,3274,5.2,Advanced,1.94
19,M,Deadlifts,5,6,49.4,4,141.5,3940,9.4,Beginner,5.0
20,F,Squats,4,7,53.2,4,138.5,2373,6.6,Intermediate,1.91
54,M,Squats,2,12,56.4,4,155.0,3928,5.6,Intermediate,2.64
34,M,Bench Press,5,5,89.6,5,193.5,1591,7.3,Beginner,3.61
19,F,Bench Press,2,14,29.2,2,149.6,1946,8.0,Intermediate,3.97
19,M,Squats,4,11,91.6,5,144.8,1608,5.2,Intermediate,1.99
45,M,Bench Press,3,11,112.1,3,86.0,1816,6.4,Intermediate,3.45
40,F,Deadlifts,2,5,107.0,5,87.5,3335,5.2,Intermediate,2.54
54,M,Deadlifts,1,13,88.9,5,102.5,3443,7.1,Intermediate,5.75
49,F,Deadlifts,1,12,171.0,1,83.9,2958,9.5,Beginner,6.18
50,M,Deadlifts,5,8,46.2,1,169.2,1941,9.9,Beginner,6.45
18,F,Squats,4,14,111.0,1,166.8,3765,8.2,Intermediate,2.75
36,F,Bench Press,5,15,31.2,5,96.3,2745,5.8,Beginner,6.18
19,F,Deadlifts,5,9,32.8,2,180.3,3051,9.5,Beginner,5.39
43,F,Squats,6,6,123.3,3,98.6,1777,7.6,Intermediate,3.24
49,M,Deadlifts,5,13,121.9,3,116.1,2068,5.8,Intermediate,4.26
23,F,Bench Press,6,10,178.0,2,109.9,2509,9.6,Intermediate,3.45
49,M,Bench Press,1,7,120.4,2,124.7,2338,8.8,Intermediate,2.5
21,M,Bench Press,1,11,192.8,3,110.6,3107,8.7,Intermediate,6.49
28,M,Deadlifts,5,13,28.8,4,138.7,1529,8.5,Intermediate,4.13
34,M,Deadlifts,1,7,37.6,1,128.9,3906,6.0,Intermediate,5.99
55,M,Squats,4,6,27.9,1,198.4,3442,6.1,Intermediate,2.28
41,F,Deadlifts,6,11,53.3,3,86.7,3633,8.4,Intermediate,3.48
22,F,Squats,6,11,117.4,2,97.1,2757,6.1,Intermediate,2.56
51,F,Squats,5,8,136.2,4,86.3,3860,7.2,Beginner,7.76
23,M,Bench Press,1,15,28.2,3,155.1,1864,8.9,Intermediate,1.0
39,F,Bench Press,2,13,190.3,1,86.5,3300,8.9,Intermediate,1.52
28,M,Bench Press,6,12,171.6,5,180.4,3322,7.3,Advanced,2.45
33,M,Deadlifts,5,5,73.4,2,141.4,3362,9.0,Advanced,5.81
50,M,Deadlifts,5,5,33.9,5,143.2,2404,9.2,Intermediate,2.09
26,M,Bench Press,4,9,50.6,3,147.4,2197,8.3,Beginner,7.02
23,F,Squats,3,10,42.8,1,100.5,3678,6.1,Beginner,8.63
33,M,Deadlifts,3,7,42.2,4,103.7,3355,6.4,Intermediate,2.72
46,M,Deadlifts,6,13,113.3,5,118.3,1850,6.6,Intermediate,2.35
20,M,Deadlifts,4,14,64.3,4,151.2,1679,5.6,Beginner,8.08
37,M,Squats,4,10,84.5,1,105.2,3003,6.4,Intermediate,1.76
53,M,Squats,4,8,198.1,5,94.0,2686,6.0,Beginner,5.29
36,F,Squats,6,11,143.2,4,196.4,3306,7.3,Advanced,4.1
43,M,Squats,3,12,190.8,4,82.6,2273,9.5,Beginner,4.07
20,M,Squats,4,13,45.7,5,176.3,2009,5.5,Advanced,2.25
36,M,Deadlifts,1,15,88.8,1,174.6,1864,8.6,Advanced,3.45
37,F,Bench Press,5,10,119.9,4,115.7,1852,8.4,Intermediate,1.49
49,F,Squats,5,10,33.8,3,96.3,2606,5.5,Intermediate,1.99
24,F,Squats,2,12,20.8,5,97.5,2748,9.6,Intermediate,4.97
58,F,Squats,2,9,140.7,2,163.7,1911,7.8,Intermediate,4.8
50,M,Squats,6,7,135.5,2,157.1,2234,6.8,Intermediate,2.87
57,M,Squats,6,7,93.9,1,173.9,1617,8.8,Intermediate,5.71
56,F,Squats,5,10,108.1,3,192.5,1981,6.3,Intermediate,1.79
35,F,Deadlifts,1,6,94.8,4,163.0,1691,8.5,Intermediate,6.59
57,F,Deadlifts,3,10,24.3,2,98.7,1606,5.2,Intermediate,1.76
18,F,Squats,3,10,80.4,1,109.2,1881,9.2,Beginner,6.26
28,F,Bench Press,6,12,51.9,3,181.1,2282,7.2,Intermediate,1.81
45,F,Deadlifts,1,11,37.7,3,105.1,3937,8.2,Beginner,6.48
42,F,Squats,6,12,192.2,1,88.7,1743,6.1,Beginner,2.19
40,F,Squats,3,13,127.9,1,164.4,1967,8.4,Beginner,4.99
48,F,Deadlifts,6,10,151.2,4,128.3,2365,8.9,Beginner,3.77
47,F,Squats,4,7,76.8,1,190.4,3061,7.4,Beginner,7.54
59,M,Bench Press,6,14,90.8,4,158.0,2733,8.1,Advanced,2.61
52,F,Bench Press,5,7,62.6,4,90.9,2103,7.3,Beginner,1.86
24,M,Squats,6,15,37.5,5,193.7,3160,9.5,Intermediate,7.86
33,M,Squats,5,5,52.2,3,111.0,2596,7.5,Beginner,4.3
43,F,Deadlifts,1,15,163.6,3,120.5,3515,9.2,Advanced,4.11
19,M,Squats,3,9,142.0,3,128.3,3158,9.0,Intermediate,2.44
18,M,Squats,2,8,118.4,5,86.1,3233,7.1,Intermediate,5.45
29,M,Deadlifts,2,13,105.5,4,139.6,3113,6.2,Intermediate,4.12
22,M,Bench Press,3,13,186.0,4,94.8,2359,7.0,Intermediate,4.6
54,F,Squats,2,9,33.1,1,128.1,3379,9.1,Intermediate,5.23
49,M,Deadlifts,6,14,70.5,5,122.1,2776,6.1,Beginner,5.8
26,M,Squats,1,8,83.0,1,172.7,1512,7.6,Advanced,3.76
58,M,Deadlifts,1,11,160.8,5,176.4,3846,9.0,Intermediate,4.04
52,F,Deadlifts,3,10,198.7,1,98.4,2599,6.8,Intermediate,3.72
36,F,Bench Press,2,8,63.3,2,124.0,2574,8.2,Intermediate,4.86
33,M,Bench Press,6,14,177.4,3,124.8,2286,6.2,Intermediate,3.71
20,M,Deadlifts,1,6,169.5,3,98.2,1648,5.5,Advanced,2.77
37,M,Squats,1,5,60.4,4,175.8,3254,9.0,Intermediate,5.22
41,F,Deadlifts,4,8,91.9,2,164.9,3669,5.5,Intermediate,3.36
50,F,Squats,4,8,93.7,3,102.8,2803,6.4,Beginner,2.54
41,M,Squats,1,5,196.1,4,124.0,2679,9.3,Advanced,2.96
28,M,Squats,3,10,52.6,2,92.7,3923,6.7,Intermediate,5.08
25,M,Deadlifts,5,8,163.8,3,155.4,1581,9.9,Beginner,7.69
53,F,Deadlifts,5,5,80.2,1,94.6,1991,9.9,Beginner,6.48
55,M,Squats,6,5,151.6,5,198.3,3903,6.3,Intermediate,2.33
57,M,Squats,1,5,95.6,2,173.7,3525,5.2,Advanced,3.55
37,M,Deadlifts,1,12,124.1,4,126.8,2424,8.5,Beginner,7.59
52,M,Bench Press,1,14,169.9,2,149.4,2796,7.3,Intermediate,3.0
42,F,Squats,3,12,164.7,4,189.4,3103,5.5,Beginner,5.07
52,M,Bench Press,4,6,176.0,2,146.5,3096,8.5,Intermediate,1.72
42,F,Bench Press,1,15,30.7,4,100.9,1622,5.2,Intermediate,1.48
46,F,Deadlifts,1,11,144.6,3,125.4,2207,9.4,Advanced,2.39
35,M,Squats,2,12,45.2,1,181.2,3877,5.7,Intermediate,2.51
35,M,Bench Press,3,12,94.8,3,157.3,2490,5.6,Advanced,1.54
19,F,Bench Press,6,15,118.7,1,158.1,3870,5.9,Intermediate,2.19
52,M,Deadlifts,1,14,92.5,3,184.0,3540,9.8,Beginner,6.41
33,M,Bench Press,2,15,113.5,3,187.3,3980,8.5,Intermediate,4.67
58,F,Bench Press,5,11,199.4,2,190.4,2209,9.0,Intermediate,3.31
53,M,Squats,6,9,44.3,5,91.4,2293,7.0,Advanced,1.89
50,M,Deadlifts,1,5,141.6,4,145.3,2211,6.7,Advanced,1.85
21,M,Bench Press,1,13,91.3,4,168.9,3217,6.2,Beginner,8.48
50,F,Squats,2,11,43.9,4,170.8,1756,7.4,Beginner,8.08
31,M,Bench Press,3,6,48.6,1,152.8,2712,7.8,Beginner,4.05
38,M,Squats,1,10,190.9,4,100.0,2370,8.2,Advanced,2.32
37,M,Squats,5,6,178.3,4,175.7,3231,6.3,Advanced,2.71
25,M,Deadlifts,1,5,183.3,2,166.4,2308,9.7,Intermediate,7.28
24,M,Bench Press,5,11,198.5,3,90.3,1770,5.8,Intermediate,4.59
20,M,Deadlifts,6,6,57.5,4,135.7,3043,9.8,Intermediate,4.23
34,M,Squats,6,6,84.0,5,100.9,2049,5.1,Intermediate,4.47
50,M,Deadlifts,4,15,140.5,4,120.5,2637,7.4,Beginner,6.97
29,M,Squats,4,9,107.1,1,82.2,2067,6.7,Intermediate,5.09
39,M,Squats,5,9,95.3,1,128.0,1858,7.2,Beginner,3.98
39,M,Deadlifts,3,11,84.4,1,146.0,3173,7.9,Beginner,5.41
47,M,Deadlifts,1,5,126.9,4,154.3,3137,7.2,Advanced,2.64
55,F,Bench Press,1,12,123.6,2,159.6,2857,7.1,Intermediate,2.67
55,M,Squats,4,7,49.1,5,180.4,3212,8.7,Intermediate,3.95
25,M,Deadlifts,5,8,104.9,4,105.9,2862,8.4,Intermediate,3.58
44,M,Bench Press,1,13,119.6,2,94.5,2297,9.2,Intermediate,3.65
44,F,Deadlifts,1,8,122.7,2,182.2,2784,6.2,Intermediate,4.62
51,F,Deadlifts,3,14,57.8,4,98.8,2386,8.0,Intermediate,3.83
38,M,Squats,2,9,153.6,4,197.0,3258,7.9,Intermediate,4.32
47,M,Squats,4,11,24.5,2,181.1,2722,6.8,Intermediate,3.44
50,F,Bench Press,4,8,83.9,2,140.1,3758,7.4,Beginner,3.85
45,M,Squats,2,5,160.4,2,197.8,1786,6.6,Intermediate,4.0
50,M,Squats,1,13,121.5,4,91.7,3215,5.7,Intermediate,1.65
22,M,Deadlifts,3,8,67.0,2,116.4,3285,6.1,Intermediate,3.17
36,M,Bench Press,3,13,145.1,1,156.6,2242,5.5,Intermediate,1.0
21,F,Deadlifts,4,10,122.1,4,122.0,3005,8.4,Intermediate,5.39
52,F,Bench Press,3,5,163.3,1,191.4,3540,8.3,Beginner,3.73
34,M,Bench Press,6,7,152.3,3,87.9,2546,9.8,Intermediate,2.62
45,M,Squats,2,15,129.8,4,145.9,1795,8.6,Advanced,1.0
47,F,Squats,1,6,107.9,3,150.9,3553,5.3,Beginner,7.05
46,F,Squats,6,13,44.0,2,158.3,2180,9.4,Intermediate,3.48
23,F,Squats,2,5,67.0,2,110.7,3391,9.3,Intermediate,5.27
52,F,Deadlifts,5,13,95.4,5,123.7,2294,7.2,Beginner,3.44
58,F,Squats,4,13,127.9,2,181.2,1702,7.9,Intermediate,2.16
54,F,Bench Press,3,12,112.5,3,103.4,1824,9.9,Intermediate,2.44
41,M,Squats,5,12,71.9,2,179.2,3791,7.7,Intermediate,5.67
46,M,Squats,3,15,21.2,4,147.5,1826,9.5,Advanced,2.88
48,F,Bench Press,6,5,109.3,2,171.5,2486,5.4,Beginner,4.5
52,M,Squats,1,15,71.4,5,165.6,2260,6.0,Beginner,6.5
50,F,Squats,1,12,152.2,2,104.9,2536,7.2,Advanced,2.31
38,M,Squats,1,14,24.3,3,148.3,2406,7.9,Intermediate,5.14
49,M,Squats,3,7,125.3,3,184.1,2903,9.1,Intermediate,6.61
40,M,Deadlifts,5,15,189.5,2,131.9,1864,9.9,Intermediate,1.72
50,M,Squats,1,11,51.4,3,196.0,2744,6.9,Intermediate,5.9
20,F,Squats,5,15,104.9,3,134.3,3620,5.2,Intermediate,1.16
35,F,Bench Press,3,5,36.5,5,97.1,3148,9.0,Beginner,4.37
42,F,Squats,6,5,132.6,4,126.7,2569,8.0,Beginner,1.93
59,F,Deadlifts,5,14,119.1,5,194.2,1773,6.0,Beginner,2.86
48,M,Bench Press,6,9,93.3,1,118.4,3755,7.5,Advanced,2.89
20,M,Bench Press,3,9,113.8,5,184.2,3452,8.7,Beginner,11.4
57,M,Bench Press,3,12,181.4,2,185.8,3384,8.9,Intermediate,3.23
41,M,Squats,4,11,55.3,4,122.0,1623,7.5,Advanced,1.9
49,M,Bench Press,3,12,24.1,2,90.0,2852,6.5,Intermediate,2.63
39,M,Squats,3,10,175.1,1,166.9,3191,9.9,Intermediate,7.52
40,M,Deadlifts,2,10,123.9,4,117.4,3607,8.3,Intermediate,4.81
19,F,Squats,1,6,180.3,3,174.0,1941,7.0,Intermediate,1.48
44,F,Bench Press,4,10,127.5,5,133.1,2740,6.4,Intermediate,3.03
59,M,Bench Press,4,9,165.8,2,138.2,2410,8.7,Intermediate,5.48
19,F,Squats,4,7,97.3,1,173.3,2525,6.2,Advanced,3.38
43,F,Squats,2,10,155.0,3,125.9,3059,5.9,Advanced,1.75
34,M,Deadlifts,6,12,184.3,5,133.2,3241,7.6,Advanced,2.5
57,F,Deadlifts,3,13,123.0,3,125.1,3234,6.4,Advanced,1.92
50,F,Squats,1,5,52.5,5,124.1,2125,8.1,Intermediate,6.67
26,M,Deadlifts,5,7,68.4,4,143.1,3190,5.6,Intermediate,3.68
56,M,Deadlifts,6,7,55.8,3,177.1,2497,8.3,Advanced,2.19
46,M,Deadlifts,3,15,64.4,3,123.4,1590,6.4,Intermediate,4.05
59,M,Squats,2,12,75.2,3,142.9,3714,5.0,Advanced,2.43
43,M,Deadlifts,3,5,119.9,4,160.5,1706,5.6,Intermediate,4.53
52,F,Squats,3,9,125.8,1,112.3,2588,9.7,Intermediate,5.17
