exercise_name,target_muscle_group,type,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2,genetic_advantage
Decline Dumbbell Press,Chest,Compound,30,F,3,12,18,2,125,2550,6.9,Beginner,1.45,2
Decline Dumbbell Press,Chest,Compound,41,M,5,8,30,4,160,2900,8.0,Advanced,2.6,4
Decline Dumbbell Press,Chest,Compound,26,F,4,10,20,3,130,2600,7.2,Intermediate,1.7,3
Decline Dumbbell Press,Chest,Compound,37,M,3,12,28,2,145,2750,7.8,Intermediate,2.2,4
Decline Dumbbell Press,Chest,Compound,33,F,5,8,19,2,120,2500,6.7,Beginner,1.4,2
Decline Dumbbell Press,Chest,Compound,44,M,4,10,32,3,155,2850,8.1,Advanced,2.8,5
Decline Dumbbell Press,Chest,Compound,28,F,3,12,21,3,135,2700,7.5,Intermediate,1.55,3
Decline Dumbbell Press,Chest,Compound,39,M,5,10,26,4,150,2800,7.9,Intermediate,2.4,4
Decline Dumbbell Press,Chest,Compound,31,F,4,8,18,2,130,2600,7.0,Beginner,1.5,2
Dumbbell Flyes,Chest,Isolation,32,M,3,12,20,2,135,2700,7.4,Intermediate,1.6,3
Dumbbell Flyes,Chest,Isolation,27,F,4,15,15,2,120,2500,6.9,Beginner,1.3,2
Dumbbell Flyes,Chest,Isolation,38,M,5,10,25,3,150,2800,7.8,Advanced,2.0,4
Dumbbell Flyes,Chest,Isolation,34,F,3,12,18,2,125,2550,7.2,Intermediate,1.45,3
Dumbbell Flyes,Chest,Isolation,29,M,4,10,22,3,140,2750,7.6,Intermediate,1.8,4
Dumbbell Flyes,Chest,Isolation,43,F,5,8,16,2,130,2600,6.7,Beginner,1.35,2
Dumbbell Flyes,Chest,Isolation,26,M,3,12,24,4,160,2900,8.0,Advanced,2.2,5
Dumbbell Flyes,Chest,Isolation,36,F,4,10,20,3,135,2700,7.5,Intermediate,1.55,3
Dumbbell Flyes,Chest,Isolation,30,M,5,12,23,2,145,2750,7.9,Intermediate,1.9,4
Dumbbell Flyes,Chest,Isolation,40,F,3,8,17,2,120,2500,6.8,Beginner,1.4,2
Incline Dumbbell Flyes,Chest,Isolation,33,M,4,12,18,3,140,2750,7.6,Intermediate,1.7,3
Incline Dumbbell Flyes,Chest,Isolation,28,F,3,15,15,2,125,2550,6.9,Beginner,1.35,2
Incline Dumbbell Flyes,Chest,Isolation,39,M,5,10,22,4,155,2850,8.0,Advanced,2.1,4
Incline Dumbbell Flyes,Chest,Isolation,31,F,4,12,16,3,130,2600,7.2,Intermediate,1.5,3
Incline Dumbbell Flyes,Chest,Isolation,35,M,3,10,20,2,145,2750,7.8,Intermediate,1.85,4
Incline Dumbbell Flyes,Chest,Isolation,27,F,5,8,14,2,120,2500,6.7,Beginner,1.3,2
Incline Dumbbell Flyes,Chest,Isolation,42,M,4,12,21,3,160,2900,8.1,Advanced,2.3,5
Incline Dumbbell Flyes,Chest,Isolation,29,F,3,10,15,3,135,2700,7.5,Intermediate,1.45,3
Incline Dumbbell Flyes,Chest,Isolation,44,M,5,12,19,4,150,2800,7.9,Intermediate,2.0,4
Incline Dumbbell Flyes,Chest,Isolation,33,F,4,8,16,2,130,2600,7.0,Beginner,1.4,2
Cable Crossover,Chest,Isolation,36,M,4,12,30,3,145,2750,7.6,Intermediate,1.8,3
Cable Crossover,Chest,Isolation,30,F,3,15,20,2,125,2550,6.9,Beginner,1.35,2
Cable Crossover,Chest,Isolation,41,M,5,10,35,4,160,2900,8.0,Advanced,2.2,4
Cable Crossover,Chest,Isolation,27,F,4,12,22,3,130,2600,7.2,Intermediate,1.6,3
Cable Crossover,Chest,Isolation,38,M,3,12,32,2,150,2800,7.8,Intermediate,1.95,4
Cable Crossover,Chest,Isolation,32,F,5,8,20,2,120,2500,6.7,Beginner,1.4,2
Cable Crossover,Chest,Isolation,45,M,4,10,34,3,165,3050,8.1,Advanced,2.5,5
Cable Crossover,Chest,Isolation,29,F,3,12,23,3,135,2700,7.5,Intermediate,1.55,3
Cable Crossover,Chest,Isolation,33,M,5,15,30,4,155,2850,7.9,Intermediate,2.1,4
Cable Crossover,Chest,Isolation,26,F,4,10,21,2,130,2600,7.0,Beginner,1.45,2
Chest Dips,Chest,Compound,34,M,4,12,0,3,140,2750,7.6,Intermediate,2.0,3
Chest Dips,Chest,Compound,28,F,3,15,0,2,125,2550,6.9,Beginner,1.4,2
Chest Dips,Chest,Compound,39,M,5,10,0,4,160,2900,8.0,Advanced,2.7,4
Chest Dips,Chest,Compound,31,F,4,12,0,3,130,2600,7.2,Intermediate,1.65,3
Chest Dips,Chest,Compound,36,M,3,12,0,2,145,2750,7.8,Intermediate,2.2,4
Chest Dips,Chest,Compound,27,F,5,8,0,2,120,2500,6.7,Beginner,1.5,2
Chest Dips,Chest,Compound,42,M,4,10,0,3,155,2850,8.1,Advanced,2.8,5
Chest Dips,Chest,Compound,30,F,3,12,0,3,135,2700,7.5,Intermediate,1.7,3
Chest Dips,Chest,Compound,44,M,5,10,0,4,150,2800,7.9,Intermediate,2.4,4
Chest Dips,Chest,Compound,33,F,4,8,0,2,130,2600,7.0,Beginner,1.55,2
