exercise_name,target_muscle_group,type,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2,genetic_advantage
Decline Dumbbell Press,Chest,Compound,41,M,5,8,30,4,160,2900,8,Advanced,2.6,4
Decline Dumbbell Press,Chest,Compound,26,F,4,10,20,3,130,2600,7.2,Intermediate,1.7,3
Decline Dumbbell Press,Chest,Compound,37,M,3,12,28,2,145,2750,7.8,Intermediate,2.2,4
Decline Dumbbell Press,Chest,Compound,33,F,5,8,19,2,120,2500,6.7,Beginner,1.4,2
Decline Dumbbell Press,Chest,Compound,44,M,4,10,32,3,155,2850,8.1,Advanced,2.8,5
Decline Dumbbell Press,Chest,Compound,28,F,3,12,21,3,135,2700,7.5,Intermediate,1.55,3
Decline Dumbbell Press,Chest,Compound,39,M,5,10,26,4,150,2800,7.9,Intermediate,2.4,4
Decline Dumbbell Press,Chest,Compound,31,F,4,8,18,2,130,2600,7,Beginner,1.5,2
Dumbbell Flyes,Chest,Isolation,32,M,3,12,20,2,135,2700,7.4,Intermediate,1.6,3
Dumbbell Flyes,Chest,Isolation,27,F,4,15,15,2,120,2500,6.9,Beginner,1.3,2
Dumbbell Flyes,Chest,Isolation,38,M,5,10,25,3,150,2800,7.8,Advanced,2,4
Dumbbell Flyes,Chest,Isolation,34,F,3,12,18,2,125,2550,7.2,Intermediate,1.45,3
Dumbbell Flyes,Chest,Isolation,29,M,4,10,22,3,140,2750,7.6,Intermediate,1.8,4
Dumbbell Flyes,Chest,Isolation,43,F,5,8,16,2,130,2600,6.7,Beginner,1.35,2
Dumbbell Flyes,Chest,Isolation,26,M,3,12,24,4,160,2900,8,Advanced,2.2,5
Dumbbell Flyes,Chest,Isolation,36,F,4,10,20,3,135,2700,7.5,Intermediate,1.55,3
Dumbbell Flyes,Chest,Isolation,30,M,5,12,23,2,145,2750,7.9,Intermediate,1.9,4
Dumbbell Flyes,Chest,Isolation,40,F,3,8,17,2,120,2500,6.8,Beginner,1.4,2
Incline Dumbbell Flyes,Chest,Isolation,33,M,4,12,18,3,140,2750,7.6,Intermediate,1.7,3
Incline Dumbbell Flyes,Chest,Isolation,28,F,3,15,15,2,125,2550,6.9,Beginner,1.35,2
Incline Dumbbell Flyes,Chest,Isolation,39,M,5,10,22,4,155,2850,8,Advanced,2.1,4
Incline Dumbbell Flyes,Chest,Isolation,31,F,4,12,16,3,130,2600,7.2,Intermediate,1.5,3
Incline Dumbbell Flyes,Chest,Isolation,35,M,3,10,20,2,145,2750,7.8,Intermediate,1.85,4
Incline Dumbbell Flyes,Chest,Isolation,27,F,5,8,14,2,120,2500,6.7,Beginner,1.3,2
Incline Dumbbell Flyes,Chest,Isolation,42,M,4,12,21,3,160,2900,8.1,Advanced,2.3,5
Incline Dumbbell Flyes,Chest,Isolation,29,F,3,10,15,3,135,2700,7.5,Intermediate,1.45,3
Incline Dumbbell Flyes,Chest,Isolation,44,M,5,12,19,4,150,2800,7.9,Intermediate,2,4
Incline Dumbbell Flyes,Chest,Isolation,33,F,4,8,16,2,130,2600,7,Beginner,1.4,2
Cable Crossover,Chest,Isolation,36,M,4,12,30,3,145,2750,7.6,Intermediate,1.8,3
Cable Crossover,Chest,Isolation,30,F,3,15,20,2,125,2550,6.9,Beginner,1.35,2
Cable Crossover,Chest,Isolation,41,M,5,10,35,4,160,2900,8,Advanced,2.2,4
Cable Crossover,Chest,Isolation,27,F,4,12,22,3,130,2600,7.2,Intermediate,1.6,3
Cable Crossover,Chest,Isolation,38,M,3,12,32,2,150,2800,7.8,Intermediate,1.95,4
Cable Crossover,Chest,Isolation,32,F,5,8,20,2,120,2500,6.7,Beginner,1.4,2
Cable Crossover,Chest,Isolation,45,M,4,10,34,3,165,3050,8.1,Advanced,2.5,5
Cable Crossover,Chest,Isolation,29,F,3,12,23,3,135,2700,7.5,Intermediate,1.55,3
Cable Crossover,Chest,Isolation,33,M,5,15,30,4,155,2850,7.9,Intermediate,2.1,4
Cable Crossover,Chest,Isolation,26,F,4,10,21,2,130,2600,7,Beginner,1.45,2
Chest Dips,Chest,Compound,34,M,4,12,0,3,140,2750,7.6,Intermediate,2,3
Chest Dips,Chest,Compound,28,F,3,15,0,2,125,2550,6.9,Beginner,1.4,2
Chest Dips,Chest,Compound,39,M,5,10,0,4,160,2900,8,Advanced,2.7,4
Chest Dips,Chest,Compound,31,F,4,12,0,3,130,2600,7.2,Intermediate,1.65,3
Chest Dips,Chest,Compound,36,M,3,12,0,2,145,2750,7.8,Intermediate,2.2,4
Chest Dips,Chest,Compound,27,F,5,8,0,2,120,2500,6.7,Beginner,1.5,2
Chest Dips,Chest,Compound,42,M,4,10,0,3,155,2850,8.1,Advanced,2.8,5
Chest Dips,Chest,Compound,30,F,3,12,0,3,135,2700,7.5,Intermediate,1.7,3
Chest Dips,Chest,Compound,44,M,5,10,0,4,150,2800,7.9,Intermediate,2.4,4
Chest Dips,Chest,Compound,33,F,4,8,0,2,130,2600,7,Beginner,1.55,2
Push-ups,Chest,Compound,35,M,3,15,0,2,130,2600,7.4,Intermediate,1.6,3
Push-ups,Chest,Compound,29,F,4,12,0,2,120,2500,6.9,Beginner,1.3,2
Push-ups,Chest,Compound,40,M,5,10,0,3,145,2750,7.8,Advanced,2,4
Push-ups,Chest,Compound,26,F,3,15,0,2,125,2550,7.2,Intermediate,1.45,3
Push-ups,Chest,Compound,37,M,4,12,0,3,140,2750,7.6,Intermediate,1.8,4
Push-ups,Chest,Compound,33,F,5,8,0,2,130,2600,6.7,Beginner,1.35,2
Push-ups,Chest,Compound,45,M,3,12,0,4,160,2900,8,Advanced,2.2,5
Push-ups,Chest,Compound,28,F,4,10,0,3,135,2700,7.5,Intermediate,1.55,3
Push-ups,Chest,Compound,31,M,5,15,0,2,150,2800,7.9,Intermediate,1.9,4
Push-ups,Chest,Compound,39,F,3,8,0,2,120,2500,6.8,Beginner,1.4,2
Pec Deck Machine,Chest,Isolation,32,M,4,12,60,3,135,2700,7.6,Intermediate,1.7,3
Pec Deck Machine,Chest,Isolation,27,F,3,15,40,2,125,2550,6.9,Beginner,1.35,2
Pec Deck Machine,Chest,Isolation,38,M,5,10,70,4,150,2800,8,Advanced,2.1,4
Pec Deck Machine,Chest,Isolation,34,F,4,12,45,3,130,2600,7.2,Intermediate,1.5,3
Pec Deck Machine,Chest,Isolation,29,M,3,12,65,2,145,2750,7.8,Intermediate,1.85,4
Pec Deck Machine,Chest,Isolation,43,F,5,8,42,2,120,2500,6.7,Beginner,1.4,2
Pec Deck Machine,Chest,Isolation,26,M,4,10,68,3,160,2900,8.1,Advanced,2.3,5
Pec Deck Machine,Chest,Isolation,36,F,3,12,48,3,135,2700,7.5,Intermediate,1.55,3
Pec Deck Machine,Chest,Isolation,30,M,5,10,62,4,155,2850,7.9,Intermediate,2,4
Pec Deck Machine,Chest,Isolation,40,F,4,8,45,2,130,2600,7,Beginner,1.45,2
Machine Chest Press,Chest,Compound,33,M,4,10,70,3,140,2750,7.6,Intermediate,2.1,3
Machine Chest Press,Chest,Compound,28,F,3,12,45,2,125,2550,6.9,Beginner,1.5,2
Machine Chest Press,Chest,Compound,39,M,5,8,80,4,160,2900,8,Advanced,2.7,4
Machine Chest Press,Chest,Compound,31,F,4,10,50,3,130,2600,7.2,Intermediate,1.65,3
Machine Chest Press,Chest,Compound,36,M,3,12,75,2,145,2750,7.8,Intermediate,2.2,4
Machine Chest Press,Chest,Compound,27,F,5,8,48,2,120,2500,6.7,Beginner,1.4,2
Machine Chest Press,Chest,Compound,42,M,4,10,78,3,155,2850,8.1,Advanced,2.8,5
Machine Chest Press,Chest,Compound,30,F,3,12,52,3,135,2700,7.5,Intermediate,1.7,3
Machine Chest Press,Chest,Compound,44,M,5,10,72,4,150,2800,7.9,Intermediate,2.5,4
Machine Chest Press,Chest,Compound,33,F,4,8,45,2,130,2600,7,Beginner,1.55,2
Barbell Rows,Back,Compound,35,M,4,10,80,3,150,2800,7.6,Intermediate,2.4,3
Barbell Rows,Back,Compound,29,F,3,12,40,2,125,2550,6.9,Beginner,1.5,2
Barbell Rows,Back,Compound,40,M,5,8,90,4,165,3050,8,Advanced,2.9,4
Barbell Rows,Back,Compound,26,F,4,10,45,3,130,2600,7.2,Intermediate,1.7,3
Barbell Rows,Back,Compound,37,M,3,12,85,2,145,2750,7.8,Intermediate,2.2,4
Barbell Rows,Back,Compound,33,F,5,8,42,2,120,2500,6.7,Beginner,1.45,2
Barbell Rows,Back,Compound,45,M,4,10,88,3,160,2900,8.1,Advanced,3,5
Barbell Rows,Back,Compound,28,F,3,12,48,3,135,2700,7.5,Intermediate,1.65,3
Barbell Rows,Back,Compound,31,M,5,10,82,4,155,2850,7.9,Intermediate,2.5,4
Barbell Rows,Back,Compound,39,F,4,8,45,2,130,2600,7,Beginner,1.6,2
T-Bar Rows,Back,Compound,32,M,4,10,70,3,145,2750,7.6,Intermediate,2.3,3
T-Bar Rows,Back,Compound,27,F,3,12,35,2,125,2550,6.9,Beginner,1.55,2
T-Bar Rows,Back,Compound,38,M,5,8,80,4,160,2900,8,Advanced,2.7,4
T-Bar Rows,Back,Compound,34,F,4,10,40,3,130,2600,7.2,Intermediate,1.65,3
T-Bar Rows,Back,Compound,29,M,3,12,75,2,150,2800,7.8,Intermediate,2.1,4
T-Bar Rows,Back,Compound,43,F,5,8,38,2,120,2500,6.7,Beginner,1.5,2
T-Bar Rows,Back,Compound,26,M,4,10,78,3,155,2850,8.1,Advanced,2.8,5
T-Bar Rows,Back,Compound,36,F,3,12,42,3,135,2700,7.5,Intermediate,1.7,3
T-Bar Rows,Back,Compound,30,M,5,10,72,4,150,2800,7.9,Intermediate,2.4,4
T-Bar Rows,Back,Compound,40,F,4,8,35,2,130,2600,7,Beginner,1.6,2
Dumbbell Rows,Back,Compound,33,M,4,12,30,3,140,2750,7.6,Intermediate,2,3
Dumbbell Rows,Back,Compound,28,F,3,15,20,2,125,2550,6.9,Beginner,1.4,2
Dumbbell Rows,Back,Compound,39,M,5,10,35,4,155,2850,8,Advanced,2.5,4
Dumbbell Rows,Back,Compound,31,F,4,12,22,3,130,2600,7.2,Intermediate,1.65,3
Dumbbell Rows,Back,Compound,36,M,3,12,32,2,145,2750,7.8,Intermediate,2.1,4
Dumbbell Rows,Back,Compound,27,F,5,8,21,2,120,2500,6.7,Beginner,1.5,2
Dumbbell Rows,Back,Compound,42,M,4,10,34,3,160,2900,8.1,Advanced,2.7,5
Dumbbell Rows,Back,Compound,30,F,3,12,23,3,135,2700,7.5,Intermediate,1.7,3
Dumbbell Rows,Back,Compound,44,M,5,10,30,4,150,2800,7.9,Intermediate,2.3,4
Dumbbell Rows,Back,Compound,33,F,4,8,20,2,130,2600,7,Beginner,1.55,2
Seated Cable Rows,Back,Compound,34,M,4,10,60,3,145,2750,7.6,Intermediate,2.2,3
Seated Cable Rows,Back,Compound,29,F,3,12,40,2,125,2550,6.9,Beginner,1.5,2
Seated Cable Rows,Back,Compound,40,M,5,8,70,4,160,2900,8,Advanced,2.7,4
Seated Cable Rows,Back,Compound,26,F,4,10,45,3,130,2600,7.2,Intermediate,1.65,3
Seated Cable Rows,Back,Compound,37,M,3,12,65,2,150,2800,7.8,Intermediate,2.1,4
Seated Cable Rows,Back,Compound,33,F,5,8,42,2,120,2500,6.7,Beginner,1.45,2
Seated Cable Rows,Back,Compound,45,M,4,10,68,3,165,3050,8.1,Advanced,2.8,5
Seated Cable Rows,Back,Compound,28,F,3,12,48,3,135,2700,7.5,Intermediate,1.7,3
Seated Cable Rows,Back,Compound,31,M,5,10,62,4,155,2850,7.9,Intermediate,2.4,4
Seated Cable Rows,Back,Compound,39,F,4,8,45,2,130,2600,7,Beginner,1.6,2
Lat Pulldowns,Back,Compound,35,M,4,10,70,3,150,2800,7.6,Intermediate,2.3,3
Lat Pulldowns,Back,Compound,30,F,3,12,40,2,125,2550,6.9,Beginner,1.55,2
Lat Pulldowns,Back,Compound,41,M,5,8,80,4,165,3050,8,Advanced,2.7,4
Lat Pulldowns,Back,Compound,27,F,4,10,45,3,130,2600,7.2,Intermediate,1.7,3
Lat Pulldowns,Back,Compound,38,M,3,12,75,2,145,2750,7.8,Intermediate,2.2,4
Lat Pulldowns,Back,Compound,32,F,5,8,42,2,120,2500,6.7,Beginner,1.5,2
Lat Pulldowns,Back,Compound,46,M,4,10,78,3,160,2900,8.1,Advanced,2.9,5
Lat Pulldowns,Back,Compound,29,F,3,12,48,3,135,2700,7.5,Intermediate,1.65,3
Lat Pulldowns,Back,Compound,33,M,5,10,72,4,150,2800,7.9,Intermediate,2.4,4
Lat Pulldowns,Back,Compound,40,F,4,8,45,2,130,2600,7,Beginner,1.6,2
Wide Grip Lat Pulldowns,Back,Compound,36,M,4,10,65,3,145,2750,7.6,Intermediate,2.2,3
Wide Grip Lat Pulldowns,Back,Compound,31,F,3,12,40,2,125,2550,6.9,Beginner,1.5,2
Wide Grip Lat Pulldowns,Back,Compound,42,M,5,8,75,4,160,2900,8,Advanced,2.7,4
Wide Grip Lat Pulldowns,Back,Compound,28,F,4,10,45,3,130,2600,7.2,Intermediate,1.65,3
Wide Grip Lat Pulldowns,Back,Compound,37,M,3,12,70,2,150,2800,7.8,Intermediate,2.1,4
Wide Grip Lat Pulldowns,Back,Compound,33,F,5,8,42,2,120,2500,6.7,Beginner,1.45,2
Wide Grip Lat Pulldowns,Back,Compound,45,M,4,10,78,3,165,3050,8.1,Advanced,2.8,5
Wide Grip Lat Pulldowns,Back,Compound,26,F,3,12,48,3,135,2700,7.5,Intermediate,1.7,3
Wide Grip Lat Pulldowns,Back,Compound,30,M,5,10,72,4,155,2850,7.9,Intermediate,2.4,4
Wide Grip Lat Pulldowns,Back,Compound,39,F,4,8,45,2,130,2600,7,Beginner,1.6,2
Close Grip Lat Pulldowns,Back,Compound,34,M,4,10,60,3,140,2750,7.6,Intermediate,2.1,3
Close Grip Lat Pulldowns,Back,Compound,29,F,3,12,35,2,125,2550,6.9,Beginner,1.5,2
Close Grip Lat Pulldowns,Back,Compound,40,M,5,8,70,4,155,2850,8,Advanced,2.6,4
Close Grip Lat Pulldowns,Back,Compound,26,F,4,10,40,3,130,2600,7.2,Intermediate,1.65,3
Close Grip Lat Pulldowns,Back,Compound,37,M,3,12,65,2,145,2750,7.8,Intermediate,2.2,4
Close Grip Lat Pulldowns,Back,Compound,33,F,5,8,38,2,120,2500,6.7,Beginner,1.45,2
Close Grip Lat Pulldowns,Back,Compound,46,M,4,10,68,3,160,2900,8.1,Advanced,2.8,5
Close Grip Lat Pulldowns,Back,Compound,28,F,3,12,42,3,135,2700,7.5,Intermediate,1.7,3
Close Grip Lat Pulldowns,Back,Compound,31,M,5,10,62,4,150,2800,7.9,Intermediate,2.4,4
Close Grip Lat Pulldowns,Back,Compound,39,F,4,8,40,2,130,2600,7,Beginner,1.6,2
Pull-ups,Back,Compound,35,M,4,10,0,3,150,2800,7.6,Intermediate,2.3,3
Pull-ups,Back,Compound,30,F,3,12,0,2,125,2550,6.9,Beginner,1.55,2
Pull-ups,Back,Compound,41,M,5,8,0,4,165,3050,8,Advanced,2.7,4
Pull-ups,Back,Compound,27,F,4,10,0,3,130,2600,7.2,Intermediate,1.7,3
Pull-ups,Back,Compound,38,M,3,12,0,2,145,2750,7.8,Intermediate,2.2,4
Pull-ups,Back,Compound,32,F,5,8,0,2,120,2500,6.7,Beginner,1.5,2
Pull-ups,Back,Compound,46,M,4,10,0,3,160,2900,8.1,Advanced,2.9,5
Pull-ups,Back,Compound,29,F,3,12,0,3,135,2700,7.5,Intermediate,1.65,3
Pull-ups,Back,Compound,33,M,5,10,0,4,150,2800,7.9,Intermediate,2.4,4
Pull-ups,Back,Compound,40,F,4,8,0,2,130,2600,7,Beginner,1.6,2
Chin-ups,Back,Compound,36,M,4,10,0,3,145,2750,7.6,Intermediate,2.2,3
Chin-ups,Back,Compound,31,F,3,12,0,2,125,2550,6.9,Beginner,1.5,2
Chin-ups,Back,Compound,42,M,5,8,0,4,160,2900,8,Advanced,2.7,4
Chin-ups,Back,Compound,28,F,4,10,0,3,130,2600,7.2,Intermediate,1.65,3
Chin-ups,Back,Compound,37,M,3,12,0,2,150,2800,7.8,Intermediate,2.1,4
Chin-ups,Back,Compound,33,F,5,8,0,2,120,2500,6.7,Beginner,1.45,2
Chin-ups,Back,Compound,45,M,4,10,0,3,165,3050,8.1,Advanced,2.8,5
Chin-ups,Back,Compound,26,F,3,12,0,3,135,2700,7.5,Intermediate,1.7,3
Chin-ups,Back,Compound,30,M,5,10,0,4,155,2850,7.9,Intermediate,2.4,4
Chin-ups,Back,Compound,39,F,4,8,0,2,130,2600,7,Beginner,1.6,2
Deadlifts,Back,Compound,34,M,4,10,120,3,170,3100,7.6,Intermediate,2.9,3
Deadlifts,Back,Compound,29,F,3,12,70,2,130,2600,6.9,Beginner,1.7,2
Deadlifts,Back,Compound,40,M,5,8,130,4,180,3200,8,Advanced,3.2,4
Deadlifts,Back,Compound,26,F,4,10,75,3,135,2700,7.2,Intermediate,1.85,3
Deadlifts,Back,Compound,37,M,3,12,125,2,160,2900,7.8,Intermediate,2.5,4
Deadlifts,Back,Compound,33,F,5,8,72,2,125,2550,6.7,Beginner,1.6,2
Deadlifts,Back,Compound,45,M,4,10,135,3,175,3150,8.1,Advanced,3,5
Deadlifts,Back,Compound,28,F,3,12,80,3,140,2750,7.5,Intermediate,1.75,3
Deadlifts,Back,Compound,31,M,5,10,128,4,165,3050,7.9,Intermediate,2.7,4
Deadlifts,Back,Compound,39,F,4,8,70,2,130,2600,7,Beginner,1.65,2
Romanian Deadlifts,Back,Compound,35,M,4,10,90,3,150,2800,7.6,Intermediate,2.2,3
Romanian Deadlifts,Back,Compound,30,F,3,12,50,2,125,2550,6.9,Beginner,1.5,2
Romanian Deadlifts,Back,Compound,41,M,5,8,100,4,165,3050,8,Advanced,2.7,4
Romanian Deadlifts,Back,Compound,27,F,4,10,55,3,130,2600,7.2,Intermediate,1.65,3
Romanian Deadlifts,Back,Compound,38,M,3,12,95,2,145,2750,7.8,Intermediate,2.1,4
Romanian Deadlifts,Back,Compound,32,F,5,8,52,2,120,2500,6.7,Beginner,1.45,2
Romanian Deadlifts,Back,Compound,46,M,4,10,98,3,160,2900,8.1,Advanced,2.8,5
Romanian Deadlifts,Back,Compound,29,F,3,12,60,3,135,2700,7.5,Intermediate,1.7,3
Romanian Deadlifts,Back,Compound,33,M,5,10,92,4,155,2850,7.9,Intermediate,2.4,4
Romanian Deadlifts,Back,Compound,40,F,4,8,55,2,130,2600,7,Beginner,1.6,2
Sumo Deadlifts,Back,Compound,36,M,4,10,110,3,170,3100,7.6,Intermediate,2.8,3
Sumo Deadlifts,Back,Compound,31,F,3,12,65,2,130,2600,6.9,Beginner,1.65,2
Sumo Deadlifts,Back,Compound,42,M,5,8,120,4,180,3200,8,Advanced,3.1,4
Sumo Deadlifts,Back,Compound,28,F,4,10,70,3,135,2700,7.2,Intermediate,1.8,3
Sumo Deadlifts,Back,Compound,37,M,3,12,115,2,150,2800,7.8,Intermediate,2.5,4
Sumo Deadlifts,Back,Compound,33,F,5,8,68,2,125,2550,6.7,Beginner,1.55,2
Sumo Deadlifts,Back,Compound,45,M,4,10,118,3,165,3050,8.1,Advanced,2.9,5
Sumo Deadlifts,Back,Compound,26,F,3,12,72,3,140,2750,7.5,Intermediate,1.7,3
Sumo Deadlifts,Back,Compound,30,M,5,10,112,4,160,2900,7.9,Intermediate,2.6,4
Sumo Deadlifts,Back,Compound,39,F,4,8,65,2,130,2600,7,Beginner,1.65,2
Rack Pulls,Back,Compound,34,M,4,10,140,3,175,3150,7.6,Intermediate,2.9,3
Rack Pulls,Back,Compound,29,F,3,12,80,2,130,2600,6.9,Beginner,1.7,2
Rack Pulls,Back,Compound,40,M,5,8,150,4,185,3250,8,Advanced,3.2,4
Rack Pulls,Back,Compound,26,F,4,10,85,3,135,2700,7.2,Intermediate,1.85,3
Rack Pulls,Back,Compound,37,M,3,12,145,2,160,2900,7.8,Intermediate,2.5,4
Rack Pulls,Back,Compound,33,F,5,8,82,2,125,2550,6.7,Beginner,1.6,2
Rack Pulls,Back,Compound,45,M,4,10,148,3,170,3100,8.1,Advanced,3,5
Rack Pulls,Back,Compound,28,F,3,12,90,3,140,2750,7.5,Intermediate,1.75,3
Rack Pulls,Back,Compound,31,M,5,10,142,4,165,3050,7.9,Intermediate,2.7,4
Rack Pulls,Back,Compound,39,F,4,8,85,2,130,2600,7,Beginner,1.65,2
Face Pulls,Back,Isolation,35,M,3,12,20,2,140,2750,7.6,Intermediate,1.5,3
Face Pulls,Back,Isolation,30,F,4,15,15,2,125,2550,6.9,Beginner,1.3,2
Face Pulls,Back,Isolation,41,M,5,10,25,3,150,2800,7.8,Advanced,1.8,4
Face Pulls,Back,Isolation,27,F,3,12,18,2,130,2600,7.2,Intermediate,1.45,3
Face Pulls,Back,Isolation,38,M,4,10,22,3,145,2750,7.6,Intermediate,1.7,4
Face Pulls,Back,Isolation,32,F,5,8,16,2,120,2500,6.7,Beginner,1.35,2
Face Pulls,Back,Isolation,46,M,3,12,24,4,160,2900,8,Advanced,2,5
Face Pulls,Back,Isolation,29,F,4,10,17,3,135,2700,7.5,Intermediate,1.55,3
Face Pulls,Back,Isolation,33,M,5,15,20,2,150,2800,7.9,Intermediate,1.9,4
Face Pulls,Back,Isolation,40,F,3,8,15,2,130,2600,7,Beginner,1.4,2
Reverse Flyes,Back,Isolation,36,M,4,12,15,3,140,2750,7.6,Intermediate,1.4,3
Reverse Flyes,Back,Isolation,31,F,3,15,10,2,125,2550,6.9,Beginner,1.2,2
Reverse Flyes,Back,Isolation,42,M,5,10,20,4,155,2850,8,Advanced,1.7,4
Reverse Flyes,Back,Isolation,28,F,4,12,12,3,130,2600,7.2,Intermediate,1.45,3
Reverse Flyes,Back,Isolation,37,M,3,12,18,2,145,2750,7.8,Intermediate,1.6,4
Reverse Flyes,Back,Isolation,33,F,5,8,11,2,120,2500,6.7,Beginner,1.3,2
Reverse Flyes,Back,Isolation,45,M,4,10,19,3,160,2900,8.1,Advanced,1.85,5
Reverse Flyes,Back,Isolation,26,F,3,12,13,3,135,2700,7.5,Intermediate,1.5,3
