exercise_name,target_muscle_group,type,age,gender,sets,reps,weight,frequency,protein,calories,sleep,experience,muscle_size_increase_cm2,genetic_advantage,actual_fat_loss,daily_deficit,current_weight,height,muscle_size_increase_in_cm2_6months,muscle_size_increase_in_cm2_12months
T-Bar Rows,Back,Compound,29,M,3,12,75,2,150,2800,7.8,Intermediate,2.1,4,10.8,290,79,175,1.16,3.96
T-Bar Rows,Back,Compound,43,F,5,8,38,2,120,2500,6.7,Beginner,1.5,2,6.5,190,70,167,0.8,2.96
T-Bar Rows,Back,Compound,26,M,4,10,78,3,155,2850,8.1,Advanced,2.8,5,14.5,390,77,174,1.59,5.25
T-Bar Rows,Back,Compound,36,F,3,12,42,3,135,2700,7.5,Intermediate,1.7,3,8.2,240,67,160,0.89,3.32
T-Bar Rows,Back,Compound,30,M,5,10,72,4,150,2800,7.9,Intermediate,2.4,4,12.5,350,78,176,1.4,5.0
T-Bar Rows,Back,Compound,40,F,4,8,35,2,130,2600,7,Beginner,1.6,2,5.9,170,68,166,0.89,3.1
Dumbbell Rows,Back,Compound,33,M,4,12,30,3,140,2750,7.6,Intermediate,2,3,10.8,320,80,178,1.08,4.15
Dumbbell Rows,Back,Compound,28,F,3,15,20,2,125,2550,6.9,Beginner,1.4,2,6.5,200,62,164,0.73,2.6
Dumbbell Rows,Back,Compound,39,M,5,10,35,4,155,2850,8,Advanced,2.5,4,13.8,380,83,179,1.31,5.04
Dumbbell Rows,Back,Compound,31,F,4,12,22,3,130,2600,7.2,Intermediate,1.65,3,8.2,250,65,161,0.87,3.3
Dumbbell Rows,Back,Compound,36,M,3,12,32,2,145,2750,7.8,Intermediate,2.1,4,10.2,280,81,176,1.23,4.24
Dumbbell Rows,Back,Compound,27,F,5,8,21,2,120,2500,6.7,Beginner,1.5,2,6.2,180,60,165,0.84,3.07
Dumbbell Rows,Back,Compound,42,M,4,10,34,3,160,2900,8.1,Advanced,2.7,5,13.2,360,85,180,1.55,5.37
Dumbbell Rows,Back,Compound,30,F,3,12,23,3,135,2700,7.5,Intermediate,1.7,3,7.8,230,63,160,0.89,3.34
Dumbbell Rows,Back,Compound,44,M,5,10,30,4,150,2800,7.9,Intermediate,2.3,4,11.8,340,86,181,1.24,4.48
Dumbbell Rows,Back,Compound,33,F,4,8,20,2,130,2600,7,Beginner,1.55,2,5.8,170,66,162,0.83,2.98
Seated Cable Rows,Back,Compound,34,M,4,10,60,3,145,2750,7.6,Intermediate,2.2,3,11.5,330,81,178,1.36,4.54
Seated Cable Rows,Back,Compound,29,F,3,12,40,2,125,2550,6.9,Beginner,1.5,2,6.8,200,63,164,0.9,3.15
Seated Cable Rows,Back,Compound,40,M,5,8,70,4,160,2900,8,Advanced,2.7,4,14.2,390,84,179,1.6,5.14
Seated Cable Rows,Back,Compound,26,F,4,10,45,3,130,2600,7.2,Intermediate,1.65,3,8.5,260,65,161,0.94,3.26
Seated Cable Rows,Back,Compound,37,M,3,12,65,2,150,2800,7.8,Intermediate,2.1,4,10.5,290,82,177,1.26,4.25
Seated Cable Rows,Back,Compound,33,F,5,8,42,2,120,2500,6.7,Beginner,1.45,2,6.2,180,67,166,0.76,2.89
Seated Cable Rows,Back,Compound,45,M,4,10,68,3,165,3050,8.1,Advanced,2.8,5,14.8,410,88,182,1.68,5.46
Seated Cable Rows,Back,Compound,28,F,3,12,48,3,135,2700,7.5,Intermediate,1.7,3,7.8,240,62,159,0.89,3.3
Seated Cable Rows,Back,Compound,31,M,5,10,62,4,155,2850,7.9,Intermediate,2.4,4,12.2,350,79,176,1.48,4.96
Seated Cable Rows,Back,Compound,39,F,4,8,45,2,130,2600,7,Beginner,1.6,2,5.9,170,68,165,0.96,3.15
Lat Pulldowns,Back,Compound,35,M,4,10,70,3,150,2800,7.6,Intermediate,2.3,3,12.2,340,82,178,1.39,4.57
Lat Pulldowns,Back,Compound,30,F,3,12,40,2,125,2550,6.9,Beginner,1.55,2,7.1,210,63,164,0.9,3.09
Lat Pulldowns,Back,Compound,41,M,5,8,80,4,165,3050,8,Advanced,2.7,4,15.8,430,86,180,1.54,5.43
Lat Pulldowns,Back,Compound,27,F,4,10,45,3,130,2600,7.2,Intermediate,1.7,3,8.8,270,64,161,0.97,3.24
Lat Pulldowns,Back,Compound,38,M,3,12,75,2,145,2750,7.8,Intermediate,2.2,4,11.2,300,83,177,1.33,4.4
Lat Pulldowns,Back,Compound,32,F,5,8,42,2,120,2500,6.7,Beginner,1.5,2,6.5,190,66,166,0.93,3.1
Lat Pulldowns,Back,Compound,46,M,4,10,78,3,160,2900,8.1,Advanced,2.9,5,15.2,410,89,183,1.78,6.06
Lat Pulldowns,Back,Compound,29,F,3,12,48,3,135,2700,7.5,Intermediate,1.65,3,8.2,250,62,159,0.94,3.35
Lat Pulldowns,Back,Compound,33,M,5,10,72,4,150,2800,7.9,Intermediate,2.4,4,12.8,360,80,176,1.35,4.56
Lat Pulldowns,Back,Compound,40,F,4,8,45,2,130,2600,7,Beginner,1.6,2,6.1,180,68,165,0.94,3.22
Wide Grip Lat Pulldowns,Back,Compound,36,M,4,10,65,3,145,2750,7.6,Intermediate,2.2,3,11.8,330,81,178,1.18,4.48
Wide Grip Lat Pulldowns,Back,Compound,31,F,3,12,40,2,125,2550,6.9,Beginner,1.5,2,6.9,200,64,164,0.91,2.83
Wide Grip Lat Pulldowns,Back,Compound,42,M,5,8,75,4,160,2900,8,Advanced,2.7,4,15.2,420,85,180,1.59,5.05
Wide Grip Lat Pulldowns,Back,Compound,28,F,4,10,45,3,130,2600,7.2,Intermediate,1.65,3,8.5,260,63,161,0.99,3.46
Wide Grip Lat Pulldowns,Back,Compound,37,M,3,12,70,2,150,2800,7.8,Intermediate,2.1,4,10.8,290,82,177,1.21,3.91
Wide Grip Lat Pulldowns,Back,Compound,33,F,5,8,42,2,120,2500,6.7,Beginner,1.45,2,6.2,180,67,166,0.86,2.93
Wide Grip Lat Pulldowns,Back,Compound,45,M,4,10,78,3,165,3050,8.1,Advanced,2.8,5,14.8,400,88,182,1.55,5.59
Wide Grip Lat Pulldowns,Back,Compound,26,F,3,12,48,3,135,2700,7.5,Intermediate,1.7,3,7.9,240,61,159,0.92,3.48
Wide Grip Lat Pulldowns,Back,Compound,30,M,5,10,72,4,155,2850,7.9,Intermediate,2.4,4,12.5,350,78,176,1.35,4.55
Wide Grip Lat Pulldowns,Back,Compound,39,F,4,8,45,2,130,2600,7,Beginner,1.6,2,5.8,170,68,165,0.95,3.06
Close Grip Lat Pulldowns,Back,Compound,34,M,4,10,60,3,140,2750,7.6,Intermediate,2.1,3,11.2,320,80,178,1.15,3.92
Close Grip Lat Pulldowns,Back,Compound,29,F,3,12,35,2,125,2550,6.9,Beginner,1.5,2,6.5,190,63,164,0.81,3.15
Close Grip Lat Pulldowns,Back,Compound,40,M,5,8,70,4,155,2850,8,Advanced,2.6,4,14.2,380,84,179,1.49,5.18
Close Grip Lat Pulldowns,Back,Compound,26,F,4,10,40,3,130,2600,7.2,Intermediate,1.65,3,8.2,250,65,161,1.01,3.28
Close Grip Lat Pulldowns,Back,Compound,37,M,3,12,65,2,145,2750,7.8,Intermediate,2.2,4,10.5,280,82,177,1.35,4.41
Close Grip Lat Pulldowns,Back,Compound,33,F,5,8,38,2,120,2500,6.7,Beginner,1.45,2,5.9,170,67,166,0.86,2.78
Close Grip Lat Pulldowns,Back,Compound,46,M,4,10,68,3,160,2900,8.1,Advanced,2.8,5,14.5,390,89,183,1.72,5.32
Close Grip Lat Pulldowns,Back,Compound,28,F,3,12,42,3,135,2700,7.5,Intermediate,1.7,3,7.5,230,62,159,0.97,3.26
Close Grip Lat Pulldowns,Back,Compound,31,M,5,10,62,4,150,2800,7.9,Intermediate,2.4,4,12.1,340,79,176,1.46,4.94
Close Grip Lat Pulldowns,Back,Compound,39,F,4,8,40,2,130,2600,7,Beginner,1.6,2,5.6,160,68,165,0.87,3.1
